hex_label,h3_hex_id,center_lon,center_lat,sample_count,resolution,coord_system
H001,89411d4aa33ffff,113.39670201268186,23.032486291889345,145,9,same_as_insert_riding_map
H002,89411d4ab63ffff,113.37694215441007,23.03816510858652,148,9,same_as_insert_riding_map
H003,89411d48d87ffff,113.36490184542093,23.039327583538853,161,9,same_as_insert_riding_map
H004,89411d48da3ffff,113.35940390380476,23.041365886575466,278,9,same_as_insert_riding_map
H005,89411d48d8fffff,113.3659474344364,23.04224216345838,140,9,same_as_insert_riding_map
H006,89411d481b7ffff,113.40415483575003,23.044579239389844,169,9,same_as_insert_riding_map
H007,89411d48d13ffff,113.36699303377245,23.0451566391528,130,9,same_as_insert_riding_map
H008,89411d48c8bffff,113.39211765929743,23.04574394412572,151,9,same_as_insert_riding_map
H009,89411d48dc3ffff,113.37353617591894,23.04603241993461,143,9,same_as_insert_riding_map
H010,89411d48cd7ffff,113.39538849863767,23.04618129250057,175,9,same_as_insert_riding_map
H011,89411d48cd3ffff,113.39865924041749,23.046618557730834,168,9,same_as_insert_riding_map
H012,89411d48c07ffff,113.38439577068259,23.050259430244672,155,9,same_as_insert_riding_map
H013,89411d48d53ffff,113.37235588433924,23.051423046409127,130,9,same_as_insert_riding_map
H014,89411d48133ffff,113.40402110546388,23.05288278927177,180,9,same_as_insert_riding_map
H015,89411d48103ffff,113.41056210303373,23.053756577073123,160,9,same_as_insert_riding_map
H016,89411d48d5bffff,113.37340151520323,23.054337127654982,156,9,same_as_insert_riding_map
H017,89411d4813bffff,113.40506673132693,23.05579615757902,166,9,same_as_insert_riding_map
H018,89411d48c73ffff,113.3864870265127,23.056087043334173,139,9,same_as_insert_riding_map
H019,89411d4810bffff,113.4116077298722,23.056669781885816,165,9,same_as_insert_riding_map
H020,89411d48897ffff,113.3744471563833,23.057251104623035,153,9,same_as_insert_riding_map
H021,89411d4812fffff,113.39957097747315,23.05783562816558,165,9,same_as_insert_riding_map
H022,89411d48173ffff,113.40938291606159,23.059146193569337,347,9,same_as_insert_riding_map
H023,89411d48c4bffff,113.3940748415337,23.0598749887537,148,9,same_as_insert_riding_map
H024,89411d48c6fffff,113.38203576072938,23.061039774671944,160,9,same_as_insert_riding_map
H025,89411d48c6bffff,113.38530709090935,23.061477048563507,158,9,same_as_insert_riding_map
H026,89411d48e87ffff,113.39512049626455,23.06278837110874,169,9,same_as_insert_riding_map
H027,89411d488d3ffff,113.38308142364298,23.063953379618134,165,9,same_as_insert_riding_map
