STIONNAME,BSDIRECTIO,gd_lng,gd_lat,name,Calc_Dir
岗贝路东站,东,113.2572812,23.1803076,岗贝路,西-东
乐嘉路西站,东,113.2548998,23.16696303,乐嘉路,西-东
云霄路站,东,113.2651903,23.18306268,云霄路,西-东
远景路站,东,113.2544736,23.17246475,远景路,西-东
云港路站,东,113.262981,23.18019185,云港路,东-西
广园新村站2,东,113.2685168,23.15832788,广园中路,西-东
乐嘉路站,东,113.2584913,23.16807317,乐嘉路,西-东
云龙路口站,东,113.2707217,23.17015761,金钟横路,东-西
地铁白云公园站,东,113.2711236,23.18139799,齐心路,西-东
广州体育馆南门站,东,113.2745086,23.17974774,金园路,西-东
棠下(三元里大道)站2,东,113.2516434,23.17091919,三元里大道,北-南
南云东街站,东,113.2611281,23.17585572,南云东街,东-西
机场立交北站2,东,113.2619229,23.16310777,机场路,北-南
岗贝路站,东,113.2551863,23.17996335,岗贝路,西-东
云城南二路站,东,113.2648015,23.17108274,云城南二路,西-东
乐嘉路中站,东,113.256246,23.16769271,乐嘉路,西-东
德康路站,东,113.2500169,23.17956321,德康路,西-东
机场立交北站2,东,113.262516,23.16117363,机场路,北-南
广园西路站,东,113.2586358,23.16102854,广园中路,西-东
云城南四路站,东,113.2679209,23.17652545,云城南四路,西-东
兴泰路站,东,113.2661324,23.16335037,兴泰路,西-东
棠下(三元里大道)站1,东,113.2512498,23.17190412,三元里大道,北-南
云苑新村站,北,113.2676502,23.16568739,松柏东街,北-南
云城东路(云城南三路口)站,北,113.2678264,23.1721132,云城东路,南-北
棠下(三元里大道)站2,北,113.2505785,23.17399701,三元里大道,南-北
三元里大道中站2,北,113.2510365,23.17738617,三元里大道,南-北
白兰花园站,北,113.2680564,23.16809102,金钟横路,东-西
云城东路(云城南二路口)站,北,113.2671458,23.17081714,云城东路,南-北
云城南站1,北,113.2612883,23.16471371,机场路,南-北
盈翠华庭站2,北,113.2748989,23.17154563,白云大道南,南-北
云城西路(机场路口)站,北,113.2614206,23.16894122,云城西路,南-北
云港路站,北,113.2626697,23.18079915,云港路,西-东
航云北街站,北,113.2615802,23.17793698,航云北街,南-北
机场路岗贝路口(省二医民航院区)站2,北,113.2595899,23.17748305,机场路,南-北
云城东路南站,北,113.2709728,23.17742119,云城东路,南-北
北站2,北,113.2535739,23.16575778,三元里大道,南-北
白云区政务中心站1,北,113.2604683,23.17015699,机场路,南-北
心谊路站,北,113.2565756,23.16930328,心谊路,南-北
民航子弟学校站,北,113.2686172,23.17357118,云城东路,南-北
柯子岭站,北,113.2723726,23.16310358,白云大道南,南-北
云城西路南站,北,113.2641357,23.17395569,云城西路,南-北
云城南站2,北,113.2610454,23.16657894,广园西路,南-北
白云大道南(金信路口)站,北,113.2763079,23.174884,白云大道南,南-北
沙涌站1,北,113.252915,23.16788251,三元里大道,南-北
云龙路站,北,113.2709492,23.16771227,云龙路,北-南
三元里古庙站,北,113.2605805,23.16112102,广园中路辅路,东-西
云城西路(云城南四路口)站,北,113.267321,23.17944745,云城西路辅路,南-北
棠下(三元里大道)站1,北,113.2511938,23.17245561,三元里大道,南-北
云城东路南站,南,113.270876,23.17754944,云城东路,北-南
云龙路站,南,113.2716858,23.16984312,云龙路,北-南
云城东路(云城南二路口)站,南,113.2669418,23.17075263,云城东路,北-南
云城东路(云城南三路口)站,南,113.2677934,23.17237935,云城东路,北-南
金信路口站,南,113.2750929,23.17882421,金信路,东-西
金信路站,南,113.2732345,23.1766447,金信路,东-西
盈翠华庭站1,南,113.2745205,23.17116874,白云大道南,北-南
柯子岭站,南,113.272375,23.16345096,白云大道南,北-南
云苑新村站,南,113.2677039,23.16612686,松柏东街,北-南
白兰花园站,南,113.2685267,23.16874497,金钟横路,东-西
航云北街站,南,113.2614807,23.17793367,航云北街,北-南
三元里大道中站1,南,113.2507834,23.17724341,三元里大道,北-南
机场路岗贝路口(省二医民航院区)站2,南,113.2593888,23.17735794,机场路,北-南
北站1,南,113.2538947,23.16368574,三元里大道,北-南
三元里古庙站,南,113.2617603,23.16024793,广园中路辅路,西-东
白云区政务中心站2,南,113.2600898,23.17161388,机场路,北-南
机场立交北站1,南,113.2614935,23.16388524,机场路,北-南
